Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
1577046,12/20/2019,Mississippi,Waynesboro,Turner St,1,6,N/A
1577363,12/19/2019,Texas,Austin,2602 Collins Creek Dr,1,0,N/A
1576476,12/18/2019,Maine,Medway,Main Rd,1,0,N/A
1572059,12/14/2019,Ohio,Sandusky,5000 block of Memphis Ave,1,0,N/A
1571392,12/13/2019,Florida,Lithia,Bridgewalk Dr,1,0,N/A
1571231,12/13/2019,Arizona,Scottsdale,N 112th Place and E Poinsettia Dr,1,0,N/A
1565292,12/5/2019,Illinois,Decatur,3035 N Water St,1,0,N/A
1561284,11/29/2019,Texas,Abilene,800 block of Sunset Dr,1,0,N/A
1559758,11/27/2019,Texas,Houston,9118 Shagbark Dr,1,0,N/A
1558906,11/25/2019,Florida,Homestead,19085 Southwest 320th St,2,0,N/A
1558811,11/25/2019,Texas,Dallas,1244 N Masters Dr,1,0,N/A
1551972,11/17/2019,Missouri,Baring,CR 15 and Deerfield Ave,1,0,N/A
1550449,11/15/2019,Indiana,Elkhart,25800 Brookstream Cir,1,0,N/A
1547956,11/12/2019,New Mexico,Albuquerque,6600 block of Meadow Lake Place NW,1,0,N/A
1547735,11/9/2019,Kansas,Arkansas City,500 block of S D St,1,0,N/A
1543208,11/6/2019,Minnesota,Saint Paul,100 block of Annapolis St E,1,0,N/A
1541266,11/3/2019,Florida,Indiantown,14000 block of SW 172nd Ave,1,0,N/A
1539793,11/1/2019,Kentucky,Louisville,2709 W Muhammad Ali Blvd,1,0,N/A
1538996,10/30/2019,Georgia,Duluth,2110 Preston Park Dr NW,1,0,N/A
1535185,10/26/2019,New York,Corona (Queens),Foch Blvd and Guy R Brewer Blvd,1,0,N/A
1531137,10/20/2019,Virginia,Richmond,1200 block of Admiral Gravely Blvd,1,0,N/A
1531661,10/20/2019,Michigan,Lansing,100 block of W Fairfield Ave,1,0,N/A
1531063,10/19/2019,Missouri,Columbia,4400 block of Rice Rd,1,0,N/A
1542057,10/19/2019,Ohio,Cincinnati,2500 block of Mustang Dr,1,0,N/A
1522472,10/8/2019,Texas,Lubbock,3500 block of County Rd 6000,1,0,N/A
1521090,10/6/2019,New Jersey,Paterson,133 Harrison St,1,0,N/A
1519354,10/4/2019,Indiana,Indianapolis,8700 block of Pemberton Cir,1,0,N/A
1515980,9/30/2019,North Carolina,Charlotte,210 E Trade St,1,0,N/A
1514898,9/28/2019,Texas,San Antonio,900 block of Pine Eagle Ln,1,0,N/A
1515030,9/28/2019,Georgia,Brunswick,578 Myers Hill Rd,1,0,N/A
1512772,9/25/2019,Texas,Spring,810 Rayford Rd,1,0,N/A
1608875,9/22/2019,Kentucky,Covington,3000 block of Sugar Camp Rd,1,0,N/A
1505334,9/15/2019,Michigan,Detroit,16600 block of Belton St,1,0,N/A
1502851,9/12/2019,Florida,Lake Worth (Palm Springs),2500 block of Springdale Blvd,1,0,N/A
1501228,9/10/2019,Iowa,Fort Dodge,721 N 8th St,1,0,N/A
1499567,9/8/2019,Pennsylvania,Pittsburgh,300 block of Fingal St,1,0,N/A
1499224,9/7/2019,Washington,Lynnwood,2500 204th Place SW,1,0,N/A
1494302,9/1/2019,Louisiana,Lafayette,100 block of S June Dr,1,0,N/A
1489985,8/27/2019,Illinois,Dolton,1203 E 142nd St,1,0,N/A
1487550,8/24/2019,Florida,Daytona Beach,212 S Keech St,1,0,N/A
1486568,8/23/2019,Alabama,Birmingham (Tarrant),1135 Pinson Valley Pkwy,1,0,N/A
1486893,8/23/2019,Florida,Tallahassee,1700 Joe Louis St,1,0,N/A
1481679,8/17/2019,Kansas,Topeka,2229 SE Ohio Ave,1,0,N/A
1473393,8/8/2019,Kansas,Olathe,12500 S Constance St,1,0,N/A
1474852,8/8/2019,Illinois,Bensenville,200 block of George St,1,0,N/A
1462610,7/29/2019,Pennsylvania,Columbia,102 N 3rd St,1,0,N/A
1462286,7/27/2019,Alaska,Saint Marys,N/A,1,0,N/A
1460198,7/26/2019,Texas,Jasper,1100 block of Co Rd 356,1,0,N/A
1457269,7/25/2019,New Jersey,Atlantic City,102 S Massachusetts Ave,1,0,N/A
1457108,7/24/2019,Ohio,Harrison,10000 block of Winding Way Dr,1,0,N/A
1453968,7/21/2019,Louisiana,Winnsboro,Smith St and Blanson St,1,0,N/A
1453186,7/20/2019,Missouri,Saint Louis,10000 block of Toelle Ln,1,0,N/A
1453316,7/20/2019,Mississippi,Columbus,2535 Main St,1,0,N/A
1453955,7/18/2019,Texas,Livingston (Segno),N/A,1,0,N/A
1450859,7/17/2019,Missouri,Shelbina,200 block of W Beech St,1,0,N/A
1446409,7/12/2019,Texas,Spring,7303 Spring Cypress Rd,1,0,N/A
1439323,7/2/2019,Arizona,Phoenix,N/A,1,0,N/A
1437995,7/2/2019,Washington,Federal Way,4519 SW 321st St,1,0,N/A
1433166,6/26/2019,Kentucky,Kimper,550 Long Fork Rd,1,0,N/A
1431541,6/24/2019,California,San Bernardino,933 E Central Ave,1,0,N/A
1427181,6/19/2019,Indiana,South Bend,100 block of Woodhill Ln,1,0,N/A
1419559,6/11/2019,Kentucky,Rocky Hill,N/A,1,0,N/A
1419834,6/10/2019,Mississippi,Horn Lake,Conrail Cir,1,1,N/A
1419431,6/10/2019,South Carolina,North Charleston,2800 block of Ranger Drive,1,0,N/A
1418975,6/9/2019,Alabama,Tuscaloosa,Skyland Blvd and McFarland Blvd,1,0,N/A
1418818,6/9/2019,Idaho,Montpelier,US Hwy 30,1,0,N/A
1417620,6/7/2019,West Virginia,Lewisburg,Feamster Rd,1,0,N/A
1416972,6/7/2019,Arizona,Tucson (Tuscon),8000 block of N Country Home Lane,1,0,N/A
1417080,6/7/2019,Texas,Lubbock,1600 block of 58th St,1,0,N/A
1415323,6/6/2019,Ohio,Columbus,40 block of W Welch Ave,1,1,N/A
1419903,6/3/2019,Texas,Inez,Co Rd 325,1,0,N/A
1410916,5/31/2019,Oklahoma,Edmond,Fretz Ave and W Danforth Rd,1,0,N/A
1409965,5/30/2019,South Carolina,Sumter,500 block of S Lafayette Dr,1,0,N/A
1410011,5/30/2019,Mississippi,Pearl,Ridgecrest Dr,1,0,N/A
1408146,5/28/2019,Mississippi,Laurel,Houston Rd,1,0,N/A
1408646,5/27/2019,Arizona,Phoenix,27th Ave and Southern Ave,1,0,N/A
1406147,5/27/2019,Florida,Pensacola,2369 N Palafox St,1,1,N/A
1406563,5/26/2019,Arizona,Tucson,7300 block of E Marigold Cir,1,0,N/A
1404771,5/25/2019,Tennessee,Memphis,2900 block of Clearbrook St,1,0,N/A
1402529,5/21/2019,Ohio,Belle Valley,Outpost Rd,1,0,N/A
1395374,5/14/2019,Missouri,Kansas City,5000 N Oak Trafficway,1,0,N/A
1392942,5/12/2019,Montana,Billings,12 Stella St,1,0,N/A
1392351,5/11/2019,Tennessee,Antioch,3800 block of Swan Ridge Dr,1,0,N/A
1387168,5/4/2019,Illinois,Centralia,100 block of S Pine St,1,0,N/A
1370948,4/14/2019,Missouri,Saint Louis,1700 block of Parktree Ln,1,0,N/A
1372315,4/13/2019,New York,Yonkers,358 Nepperhan Ave,1,0,N/A
1368008,4/7/2019,Mississippi,Indianola,200 block of W Augusta St,1,0,N/A
1360810,3/30/2019,Kansas,Concordia,120th Rd and River Bottom Rd,1,0,N/A
1354713,3/24/2019,Iowa,Montrose,2308 280th St,1,0,N/A
1352829,3/22/2019,Arkansas,Springdale,Singletree Ave,1,0,N/A
1354026,3/22/2019,North Carolina,Fayetteville,3100 Cricket Rd,1,0,N/A
1349563,3/18/2019,Utah,Salt Lake City (Kearns),5007 W 5400 South,1,0,N/A
1350746,3/18/2019,Texas,Spring,25811 Elmley Place,1,0,N/A
1347878,3/14/2019,Mississippi,Greenville,247 Crescent St,1,0,N/A
1346113,3/13/2019,Texas,Houston,12929 Northwest Fwy,1,0,N/A
1343205,3/9/2019,Illinois,Chicago,7300 block of S Aberdeen St,1,0,N/A
1347871,3/9/2019,Mississippi,Greenwood,200 block of N Stone Ave,1,0,N/A
1342924,3/8/2019,Georgia,Douglasville,Legend Creek Way,1,0,N/A
1329984,2/18/2019,Indiana,Richmond,2115 Grand Blvd,1,0,N/A
1329406,2/17/2019,Iowa,Davenport,2426 N Michigan Ave,1,0,N/A
1320361,2/5/2019,Texas,Fort Worth,5370 Blue Mound Rd,1,0,N/A
1320271,2/5/2019,Utah,Salt Lake City (West Valley City),1347 W 2320 South,1,0,N/A
1318649,2/3/2019,California,Firebaugh,600 block of N. Fairfax Ave,1,0,N/A
1322220,2/1/2019,New York,Putnam Valley,56 Ridge Avenue,1,0,N/A
1313441,1/27/2019,Texas,Spring,23100 block of Kimberly Glen Lane,1,0,N/A
1308070,1/22/2019,New York,Syracuse,921 Ballantyne Rd,1,0,N/A
1308482,1/22/2019,Texas,Houston,16900 block of Jenikay Ln,1,0,N/A
1306011,1/19/2019,Texas,Houston,11600 Vinedale Dr,1,0,N/A
1306941,1/19/2019,South Carolina,Allendale,200 block of Bing St,1,0,N/A
1305643,1/19/2019,Texas,Houston,2107 Linden Creek Ln,1,0,N/A
1305697,1/16/2019,Georgia,Atlanta,200 Block of Springside Dr SE,1,0,N/A
1299668,1/12/2019,Louisiana,New Orleans,6780 Bundy Rd,1,0,N/A
1297524,1/10/2019,Tennessee,Madison,201 E Palestine Ave,1,0,N/A
1356860,1/6/2019,California,San Jose,Thistlewood Court,1,0,N/A
1293992,1/5/2019,Oklahoma,Tulsa,7902 S Sheridan Rd,1,0,N/A
1292019,1/3/2019,Georgia,Augusta,2000 block of Ellis St,1,0,N/A
1289271,12/31/2018,Georgia,Lawrenceville,1874 Riverlanding Cir,2,0,N/A
1289265,12/30/2018,Missouri,Saint Louis,10400 block of Baron Dr,1,0,N/A
1286304,12/26/2018,Mississippi,Goodman,91 Cedar Grove Dr,1,0,N/A
1286417,12/26/2018,Florida,Lake City,200 block of SE Anastasia St,1,0,N/A
1283079,12/23/2018,Florida,Saint Petersburg,Central Ave and 58th St,1,0,N/A
1278429,12/16/2018,Kentucky,Bowling Green,222 Moonlite Ave,1,0,N/A
1278409,12/15/2018,Texas,Houston,13000 block of Duncum St,1,0,N/A
1278778,12/14/2018,Missouri,Florissant,13 Holly Ln,1,0,N/A
1273048,12/9/2018,Oklahoma,Tulsa,1130 E 23rd St,1,0,N/A
1272272,12/8/2018,Pennsylvania,New Castle,400 block of N Liberty St,1,0,N/A
1271151,12/4/2018,Texas,Dallas,1800 block of Bickers St,1,0,N/A
1267534,11/30/2018,Washington,Edmonds,7400 block of 208th St SW,1,0,N/A
1265736,11/28/2018,Ohio,Akron,262 Grand Ave,1,1,N/A
1261110,11/21/2018,Florida,Homosassa Springs,6000 block of W Wayward Wind Loop,1,0,N/A
1257873,11/18/2018,North Carolina,Winston Salem (Winston-salem),5013 Eltha Dr,1,0,N/A
1259687,11/17/2018,Texas,Roanoke (Northlake),1400 block of Tumbleweed Tr,1,0,N/A
1257514,11/16/2018,Michigan,Mass City,N/A,1,0,N/A
1255632,11/14/2018,Arizona,Phoenix,1510 S 19th Dr,1,0,N/A
1255061,11/13/2018,Louisiana,Jackson,2800 block of Charles Drive,1,0,N/A
1254561,11/12/2018,Illinois,Decatur,1100 block of N Main St,1,0,N/A
1248178,11/2/2018,Louisiana,Ragley,Topsy Bel Rd,1,0,N/A
1563948,10/19/2018,Wisconsin,Calumet (county),N/A,1,0,N/A
1238006,10/19/2018,Ohio,Painesville,595 Mentor Ave,1,0,N/A
1235835,10/18/2018,Alabama,Huntsville,102 Winchester Rd,1,0,N/A
1229736,10/10/2018,North Carolina,Fayetteville,1000 block of Wood Creek Dr,1,0,N/A
1227183,10/7/2018,Texas,Dallas,4849 Haverwood Ln,1,0,N/A
1221130,9/30/2018,Texas,Humble (Atascocita),6700 block of Atasca Dr,1,0,N/A
1216785,9/23/2018,Utah,Hyrum,N/A,1,0,N/A
1213916,9/19/2018,Illinois,Rockford,2300 block of Clover Ave,1,0,N/A
1203323,9/4/2018,Colorado,Loveland,3000 block of N Duffield Ave,1,0,N/A
1202290,8/31/2018,Tennessee,New Union,N/A,1,0,N/A
1457344,8/31/2018,New York,Otsego (county),N/A,1,0,N/A
1198884,8/29/2018,Ohio,Cincinnati (Mount Carmel),4200 block of Beechmont Dr,1,0,N/A
1194262,8/21/2018,Arkansas,Lake Village,1379 Sixteen Section Rd,1,0,N/A
1191978,8/20/2018,Michigan,Muskegon (Muskegon Heights),2500 block of Elwood St,1,0,N/A
1191389,8/19/2018,Tennessee,Clarksville,Granny White Rd,1,0,N/A
1187662,8/14/2018,Washington,Seattle (Burien),12600 block of 12th Avenue South,1,0,N/A
1183458,8/9/2018,Ohio,Barberton,27th Street Northwest,1,0,N/A
1178703,8/3/2018,Delaware,Wilmington,1300 block of E 27th St,1,0,N/A
1175444,7/30/2018,Ohio,Cincinnati,2267 Vine St,1,0,N/A
1175367,7/28/2018,North Carolina,Hickory,1800 block of 13th Ave NE,1,0,N/A
1173778,7/28/2018,Missouri,Florissant (Black Jack),4700 block of Bristol Rock Rd,1,0,N/A
1184218,7/27/2018,North Carolina,Marion,Reid St,1,0,N/A
1173901,7/27/2018,Arkansas,Benton (Haskell),Meadow Creek Ct,1,0,N/A
1172392,7/26/2018,Arkansas,Cotton Plant (Maberry),CR 794,1,0,N/A
1171386,7/24/2018,Texas,Conroe,1100 S Loop 336,1,0,N/A
1164273,7/15/2018,Ohio,Cleveland,6500 block of Newman Ave,1,0,N/A
1164650,7/15/2018,Oklahoma,Bethany,2004 N Wilburn Ave,1,0,N/A
1160765,7/10/2018,Oklahoma,Oklahoma City,2400 block of S St Clair Ave,1,0,N/A
1159870,7/9/2018,Michigan,Pontiac,100 block of Willard St,1,0,N/A
1159109,7/7/2018,Missouri,Columbia,700 block of Hulen Dr,1,0,N/A
1158181,7/5/2018,Virginia,Alexandria,8400 block of Del Norte Court,1,0,N/A
1156225,7/4/2018,Colorado,Fort Collins,800 block of Merganser Dr,1,0,N/A
1155095,7/3/2018,Georgia,Roswell,1275 Upper Hembree Rd,1,1,N/A
1158269,6/30/2018,Mississippi,Carthage,Martin Luther King Dr,1,0,N/A
1150652,6/26/2018,Massachusetts,Dighton,475 Forest St,1,0,N/A
1140927,6/13/2018,Wisconsin,Madison,4402 E Buckeye Rd,1,0,N/A
1139623,6/12/2018,Tennessee,Memphis,3131 Madewell St,1,0,N/A
1140146,6/11/2018,North Carolina,Taylorsville,Will Wilson Ln,1,0,N/A
1139997,6/8/2018,Texas,Big Spring,1800 block of Nolan St,1,0,N/A
1136556,6/7/2018,Oregon,Silver Lake,Bowens Ln,1,0,N/A
1135409,6/6/2018,Georgia,Riverdale,Adel Ln,1,0,N/A
1133401,6/5/2018,Arizona,Glendale,67th Ave and Bethany Home Rd,1,0,N/A
1133365,6/4/2018,Ohio,Dayton,2500 block of Wheeler Ave,1,0,N/A
1133028,6/4/2018,Indiana,Lebanon,1400 block of W South St,1,0,N/A
1131283,6/1/2018,Washington,Seattle (Seatac),14700 Block of 29th Pl S,1,0,N/A
1129078,5/29/2018,Arizona,Tucson,3700 block of N Campbell Ave,1,0,N/A
1130737,5/28/2018,Iowa,Des Moines,1500 block of Walker St,1,0,N/A
1128125,5/27/2018,Washington,Cle Elum,Sandy Ridge Rd,1,0,N/A
1126929,5/27/2018,Pennsylvania,New Bloomfield,1600 block of Jericho Rd,1,0,N/A
1126570,5/26/2018,Louisiana,Lake Charles (Moss Bluff),Koonce Rd,1,0,N/A
1126206,5/26/2018,Illinois,Chicago,800 block of E 49th St,1,0,N/A
1122304,5/21/2018,Alabama,Birmingham,200 block of Tucker Ave,1,0,N/A
1121021,5/18/2018,Oklahoma,Tulsa,2600 block of E Oklahoma St,1,0,N/A
1116203,5/14/2018,Mississippi,Meridian,2427 4th Ave,1,0,N/A
1114730,5/12/2018,Illinois,Rockford,1100 block of Fairview Ave,1,0,N/A
1114701,5/12/2018,Texas,Rockwall,1100 block of Fairview Dr,1,0,N/A
1113399,5/10/2018,Iowa,Clarksville,N/A,1,0,N/A
1105388,4/30/2018,Texas,Christine,N/A,1,1,N/A
1099299,4/24/2018,Alabama,Birmingham,4016 37th Ave N,1,0,N/A
1093664,4/15/2018,North Carolina,Greensboro,1316 Maple St,1,0,N/A
1092432,4/15/2018,Indiana,Fort Wayne,2700 block of Chestnut St,1,1,N/A
1082552,3/30/2018,Mississippi,Meridian,107 71st Pl,1,0,N/A
1080382,3/28/2018,Indiana,Terre Haute,Golf Bag Ln,1,0,N/A
1077676,3/25/2018,Georgia,Brunswick,104 Eagles Point Dr,1,0,N/A
1068059,3/12/2018,Louisiana,Lake Providence,300 Church Street,1,0,N/A
1064500,3/7/2018,Alabama,Birmingham,950 Springville Rd,1,2,N/A
1062704,3/4/2018,Georgia,Atlanta,800 block of Mercury Drive,1,0,N/A
1056686,2/23/2018,Louisiana,Monroe,Curtis Rd and Swartz Fairbanks Rd,1,0,N/A
1054182,2/20/2018,Texas,El Paso,7100 block of Dale Rd,1,0,N/A
1052724,2/18/2018,Arizona,Sierra Vista,77 El Camino Real,1,0,N/A
1051199,2/15/2018,California,Santa Barbara,E Camino Cielo,1,0,N/A
1050406,2/14/2018,Louisiana,Westlake,1411 Clarence St,1,0,N/A
1045868,2/8/2018,Florida,Myakka City,14930 Albritton Rd,1,0,N/A
1045764,2/8/2018,Texas,Lubbock,5010 I-27,1,0,N/A
1044837,2/7/2018,Tennessee,Nashville,1500 Porter Rd,1,0,N/A
1046008,2/7/2018,New York,Syracuse,443 Shonnard St,1,0,N/A
1042457,2/3/2018,Mississippi,Gulfport,4000 block of Ponderosa Dr,1,0,N/A
1042467,2/3/2018,California,Santa Maria,600 block of W Polk St,1,0,N/A
1069026,2/3/2018,Louisiana,Baton Rouge,4036 Hazelwood Dr,1,0,N/A
1040218,1/31/2018,Connecticut,Guilford,104 Seaside Ave,1,0,N/A
1037723,1/26/2018,New Jersey,Egg Harbor Township,10 block of Woodrow Ave,1,0,N/A
1032573,1/21/2018,Indiana,Campbellsburg,7460 E County Rd 800 N,1,0,N/A
1237375,1/16/2018,Georgia,Rome,Bollen Ct,1,0,N/A
1027535,1/15/2018,Tennessee,Antioch,100 Arbor Knoll Blvd,1,0,N/A
1028741,1/14/2018,Nebraska,Genoa,N 390th Ave,1,0,N/A
1018187,1/1/2018,Oregon,Sherwood,23077 SW Main St,1,0,N/A
1019020,12/31/2017,Mississippi,Cleveland,N/A,1,0,N/A
1021377,12/30/2017,Texas,Hillsboro,1000 block of E Walnut St,1,0,N/A
1014850,12/26/2017,Illinois,Wilmington,1800 S Water St,1,0,N/A
1013274,12/22/2017,New York,Guilford,CR 35,1,0,N/A
1012025,12/21/2017,South Carolina,Inman,Stevens Ct,1,0,N/A
1010810,12/19/2017,Arizona,Glendale,Beardsley Rd and 67th Ave,1,0,N/A
1009409,12/17/2017,Texas,Deer Park,1500 block of Wilson,1,0,N/A
1010174,12/15/2017,Alabama,Odenville,900 block of Maple Trace,1,0,N/A
1007558,12/13/2017,Ohio,Newcomerstown,16978 Horseshoe Bend East Rd SE,1,0,N/A
1005355,12/10/2017,Utah,Roosevelt (Ballard),N/A,1,0,N/A
1006794,12/9/2017,Alabama,Anniston,Paul St,1,0,N/A
1002305,12/5/2017,Tennessee,Lawrenceburg,1015 Smith Ave,1,0,N/A
1002623,12/4/2017,New Mexico,Albuquerque,5000 block of Azuelo Ave NW,1,0,N/A
999515,11/30/2017,Arizona,Phoenix,Thomas Rd and 67th Ave,1,0,N/A
996497,11/26/2017,Nevada,West Wendover,800 Ash St,1,0,N/A
995550,11/25/2017,Tennessee,Memphis (Hickory Hill),5900 block of Hickory Trace Cove,1,0,N/A
995796,11/24/2017,Texas,Bulverde,N/A,1,0,N/A
995915,11/16/2017,Colorado,Saguache,CO 788,1,0,N/A
986991,11/13/2017,North Carolina,Lillington,2091 N.C. Highway 27,1,0,N/A
987587,11/13/2017,Alabama,Adger,Valley Ford Rd and Buford Rd,1,0,N/A
987108,11/12/2017,Tennessee,Dresden,Evergreen Street,1,0,N/A
986230,11/11/2017,Minnesota,Aurora,5800 block of Stepetz Road 53,1,0,N/A
984178,11/8/2017,Texas,Kountze,2600 block of FM 418,1,0,N/A
980363,11/4/2017,New Hampshire,Exeter (Brentwood),Pine Rd,1,0,N/A
979736,11/2/2017,Connecticut,Wethersfield,26-28 Alison Ln,1,0,N/A
979214,11/2/2017,Virginia,Williamsburg,1700 block of Skiffes Creek Circle,1,0,N/A
978597,10/31/2017,Mississippi,Columbus,Poplar St,1,0,N/A
978340,10/31/2017,Georgia,Atlanta,300 Block of Fairburn Rd,1,0,N/A
976123,10/29/2017,Illinois,Chicago,6600 S Marquette Rd,1,0,N/A
975812,10/28/2017,Texas,Fort Worth,5400 block of Wilson Rd,1,0,N/A
975393,10/26/2017,Georgia,Forest Park,Boca Grande Boulevard,1,0,N/A
973741,10/26/2017,Arkansas,Altheimer,700 block of Short Front St,1,0,N/A
971428,10/23/2017,Alabama,Cullman,Fox Meadow Trail,1,0,N/A
965362,10/21/2017,Oklahoma,Tulsa,2600 block of 28th St,1,0,N/A
958930,10/14/2017,Illinois,Decatur,1400 block of E Wellington Way,1,0,N/A
959049,10/14/2017,Washington,Kelso,1500 block of Carroll Rd,1,0,N/A
957685,10/11/2017,Kentucky,Somerset,KY-1003,1,0,N/A
954977,10/7/2017,Missouri,Saint Louis (University City),6600 block of Bartmer Ave,1,0,N/A
954252,10/7/2017,Kentucky,Hopkinsville,Beaumont Ct,1,0,N/A
974466,10/7/2017,Utah,Santaquin,N/A,1,0,N/A
952201,10/3/2017,Texas,Dallas,Whitehurst Dr and Skillman St,1,0,N/A
946014,10/1/2017,Indiana,Indianapolis,1800 block of N Routiers Ave,1,0,N/A
949007,9/30/2017,Mississippi,Horn Lake,Longwood Cove,1,1,N/A
946149,9/30/2017,Georgia,Augusta,2400 Block of Amsterdam Dr,1,0,N/A
943441,9/26/2017,Texas,Garland,3700 block of Burning Tree Ln,1,0,N/A
941819,9/24/2017,New York,Yonkers,201 Warburton Ave,1,0,N/A
939599,9/22/2017,Kentucky,Franklin,303 Pepper St,1,0,N/A
944644,9/19/2017,Texas,Manvel,5000 block of CR 48,1,0,N/A
935342,9/17/2017,Ohio,Fremont,300 block of Jackson St,1,0,N/A
932639,9/14/2017,Florida,Jacksonville,4600 block of Ricker Road,1,0,N/A
926112,9/2/2017,Tennessee,Springfield,10th Ave,1,0,N/A
923499,8/28/2017,Florida,Pinellas Park,6500 87th Ave N,1,0,N/A
921669,8/27/2017,Georgia,Marietta,790 Wilson Circle,1,0,N/A
921625,8/26/2017,Minnesota,Minneapolis (Crystal),5359 W Broadway Ave,1,0,N/A
915548,8/17/2017,North Carolina,Winston Salem (Winston-salem),4365 Wakeman Dr,1,0,N/A
914436,8/15/2017,Arizona,Queen Creek,N/A,1,0,N/A
914423,8/15/2017,Washington,Spokane,N Washington St and W Spokane Falls Blvd,1,0,N/A
914995,8/14/2017,Alabama,Birmingham,4100 Messer Airport Hwy,1,0,N/A
912715,8/12/2017,Missouri,Festus,1900 block of Iditarod Trail,1,0,N/A
910872,8/9/2017,Oklahoma,Tulsa,5000 block of S Hudson,1,0,N/A
909203,8/8/2017,Wisconsin,Loganville,Highway 23,1,0,N/A
908443,8/7/2017,Texas,Wichita Falls,1509 Trigg Ln,1,0,N/A
905923,8/4/2017,Texas,San Antonio,6200 block of Big Valley Dr,1,0,N/A
906573,8/4/2017,Mississippi,Gulfport,3600 block of Sabine Street,1,0,N/A
904990,8/2/2017,New York,Glen Cove,Williams St,1,0,N/A
899292,7/26/2017,Wisconsin,Waupaca,E410 Rieben Rd,1,0,N/A
900142,7/26/2017,California,Oakland,2300 block of Fruitvale Ave,1,0,N/A
896934,7/23/2017,Missouri,Saint Louis,1400 block of Kealty Ln,1,0,N/A
